"pagbrasil_bank_r","Bradesco Com&#233;rcio Eletr&#244;nico"
"pagbrasil_bank_e","Banco do Brasil Com&#233;rcio Eletr&#244;nico"
"pagbrasil_bank_s","Banricompras"
"Proceed to bank checkout","Clique aqui para efetuar o pagamento"
"Please select the bank to checkout","Por favor selecione o seu banco"

"You will be redirected to our secure payment page when you place an order.","Voc&#234; ser&#225; redirecionado para nosso servidor seguro para efetuar o pagamento."

"Payment failed.","Falha no pagamento."
"Payment was canceled.","Pagamento cancelado."
"Pending order #%s created.","Pedido #%s em processamento."
"Payment authorized.","Pagamento autorizado."
"The CPF or CNPJ is not valid!","CPF/CNPJ inv&#225;lido!"
"Please select your bank","Por favor selecione o seu banco"
"Payment","Pagamento"
"Please click here to view or print your boleto bancario","Por favor, clique aqui para visualizar e imprimir seu boleto banc&#225;rio"
